Active code page: 65001
wayid,name,lineid,stationid,time.h,time.min,distance,timetake,cost,crow
0,航空总部,1,1,10,0,35.4365,1.96333,8,0.361905
0,宋家岗,1,2,10,5,35.4365,1.96333,8,0.361905
0,巨龙大道,1,3,10,15,35.4365,1.96333,8,0.361905
0,汤云海,5,9,10,20,35.4365,1.96333,8,0.361905
0,马池,5,10,10,25,35.4365,1.96333,8,0.361905
0,园博园北,5,11,10,30,35.4365,1.96333,8,0.361905
0,园博园,5,12,10,35,35.4365,1.96333,8,0.361905
0,常码头,5,13,10,40,35.4365,1.96333,8,0.361905
0,武汉商务区,5,14,10,45.7,35.4365,1.96333,8,0.361905
0,双墩,2,13,10,50,35.4365,1.96333,8,0.361905
0,宗关,2,14,10,55,35.4365,1.96333,8,0.361905
0,王家湾,2,15,11,5,35.4365,1.96333,8,0.361905
0,玉龙路,3,24,11,10,35.4365,1.96333,8,0.361905
0,永安堂,3,25,11,15,35.4365,1.96333,8,0.361905
0,孟家铺,3,26,11,20,35.4365,1.96333,8,0.361905
0,黄金口,3,27,11,25,35.4365,1.96333,8,0.361905
0,新天,3,28,11,30,35.4365,1.96333,8,0.361905
0,集贤,3,29,11,35,35.4365,1.96333,8,0.361905
0,知音,3,30,11,40,35.4365,1.96333,8,0.361905
0,新农,3,31,11,45,35.4365,1.96333,8,0.361905
0,凤凰路,3,32,11,50,35.4365,1.96333,8,0.361905
0,蔡甸广场,3,33,11,55,35.4365,1.96333,8,0.361905
0,临嶂大道,3,34,11,57.8,35.4365,1.96333,8,0.361905
1,航空总部,1,1,10,0,37.1149,2.29667,8,0.436
1,宋家岗,1,2,10,5,37.1149,2.29667,8,0.436
1,巨龙大道,1,3,10,15,37.1149,2.29667,8,0.436
1,盘龙城,1,4,10,20,37.1149,2.29667,8,0.436
1,宏图大道,1,5,10,25,37.1149,2.29667,8,0.436
1,常青城,1,6,10,30,37.1149,2.29667,8,0.436
1,金银潭,1,7,10,35,37.1149,2.29667,8,0.436
1,常青花园,1,8,10,40,37.1149,2.29667,8,0.436
1,长港路,1,9,10,45.7,37.1149,2.29667,8,0.436
1,汉口火车站,1,10,10,50,37.1149,2.29667,8,0.436
1,范湖,1,11,10,55,37.1149,2.29667,8,0.436
1,云飞路,2,11,11,5,37.1149,2.29667,8,0.436
1,武汉商务区,2,12,11,10,37.1149,2.29667,8,0.436
1,双墩,2,13,11,15,37.1149,2.29667,8,0.436
1,宗关,2,14,11,20,37.1149,2.29667,8,0.436
1,王家湾,2,15,11,25,37.1149,2.29667,8,0.436
1,玉龙路,3,24,11,30,37.1149,2.29667,8,0.436
1,永安堂,3,25,11,35,37.1149,2.29667,8,0.436
1,孟家铺,3,26,11,40,37.1149,2.29667,8,0.436
1,黄金口,3,27,11,45,37.1149,2.29667,8,0.436
1,新天,3,28,11,50,37.1149,2.29667,8,0.436
1,集贤,3,29,11,55,37.1149,2.29667,8,0.436
1,知音,3,30,11,57.8,37.1149,2.29667,8,0.436
1,新农,3,31,12,10,37.1149,2.29667,8,0.436
1,凤凰路,3,32,12,15,37.1149,2.29667,8,0.436
1,蔡甸广场,3,33,12,25,37.1149,2.29667,8,0.436
1,临嶂大道,3,34,12,25,37.1149,2.29667,8,0.436
2,航空总部,1,1,10,0,38.4851,2.29667,8,0.418
2,宋家岗,1,2,10,5,38.4851,2.29667,8,0.418
2,巨龙大道,1,3,10,15,38.4851,2.29667,8,0.418
2,盘龙城,1,4,10,20,38.4851,2.29667,8,0.418
2,宏图大道,1,5,10,25,38.4851,2.29667,8,0.418
2,常青城,1,6,10,30,38.4851,2.29667,8,0.418
2,金银潭,1,7,10,35,38.4851,2.29667,8,0.418
2,常青花园,1,8,10,40,38.4851,2.29667,8,0.418
2,长港路,1,9,10,45.7,38.4851,2.29667,8,0.418
2,汉口火车站,1,10,10,50,38.4851,2.29667,8,0.418
2,范湖,1,11,10,55,38.4851,2.29667,8,0.418
2,王家墩东,1,12,11,5,38.4851,2.29667,8,0.418
2,武汉商务区,5,14,11,10,38.4851,2.29667,8,0.418
2,双墩,2,13,11,15,38.4851,2.29667,8,0.418
2,宗关,2,14,11,20,38.4851,2.29667,8,0.418
2,王家湾,2,15,11,25,38.4851,2.29667,8,0.418
2,玉龙路,3,24,11,30,38.4851,2.29667,8,0.418
2,永安堂,3,25,11,35,38.4851,2.29667,8,0.418
2,孟家铺,3,26,11,40,38.4851,2.29667,8,0.418
2,黄金口,3,27,11,45,38.4851,2.29667,8,0.418
2,新天,3,28,11,50,38.4851,2.29667,8,0.418
2,集贤,3,29,11,55,38.4851,2.29667,8,0.418
2,知音,3,30,11,57.8,38.4851,2.29667,8,0.418
2,新农,3,31,12,10,38.4851,2.29667,8,0.418
2,凤凰路,3,32,12,15,38.4851,2.29667,8,0.418
2,蔡甸广场,3,33,12,25,38.4851,2.29667,8,0.418
2,临嶂大道,3,34,12,25,38.4851,2.29667,8,0.418
